"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"tcell30p_scored_target",65,0.01,94,132,102,132
"tcell3p_scored_target",65,0.01,39,132,0,132
"drep_tcell100p_scored_target",66,0.01,109,132,125,132
"tcell0pt3p_scored_target",66,0.01,0,132,0,132
"tcell10p_scored_target",66,0.01,66,132,76,132
"tcell1p_scored_target",66,0.01,0,132,0,132
"tcell30p_scored_target",66,0.01,94,132,105,132
"tcell3p_scored_target",66,0.01,0,132,54,132
"drep_tcell100p_scored_target",67,0.01,109,132,125,132
"tcell0pt3p_scored_target",67,0.01,0,132,0,132
"tcell10p_scored_target",67,0.01,66,132,77,132
"tcell1p_scored_target",67,0.01,0,132,0,132
"tcell30p_scored_target",67,0.01,94,132,105,132
"tcell3p_scored_target",67,0.01,0,132,56,132
"drep_tcell100p_scored_target",68,0.01,109,132,125,132
"tcell0pt3p_scored_target",68,0.01,25,132,0,132
"tcell10p_scored_target",68,0.01,66,132,79,132
"tcell1p_scored_target",68,0.01,12,132,0,132
"tcell30p_scored_target",68,0.01,94,132,103,132
"tcell3p_scored_target",68,0.01,0,132,54,132
"drep_tcell100p_scored_target",69,0.01,109,132,125,132
"tcell0pt3p_scored_target",69,0.01,0,132,0,132
"tcell10p_scored_target",69,0.01,66,132,73,132
"tcell1p_scored_target",69,0.01,0,132,0,132
"tcell30p_scored_target",69,0.01,94,132,104,132
"tcell3p_scored_target",69,0.01,39,132,54,132
"drep_tcell100p_scored_target",70,0.01,109,132,126,132
"tcell0pt3p_scored_target",70,0.01,0,132,0,132
"tcell10p_scored_target",70,0.01,66,132,77,132
"tcell1p_scored_target",70,0.01,0,132,0,132
"tcell30p_scored_target",70,0.01,94,132,103,132
"tcell3p_scored_target",70,0.01,38,132,54,132
"drep_tcell100p_scored_target",71,0.01,109,132,125,132
"tcell0pt3p_scored_target",71,0.01,0,132,0,132
"tcell10p_scored_target",71,0.01,66,132,76,132
"tcell1p_scored_target",71,0.01,0,132,0,132
"tcell30p_scored_target",71,0.01,94,132,104,132
"tcell3p_scored_target",71,0.01,0,132,53,132
"drep_tcell100p_scored_target",72,0.01,109,132,125,132
"tcell0pt3p_scored_target",72,0.01,0,132,0,132
"tcell10p_scored_target",72,0.01,66,132,73,132
"tcell1p_scored_target",72,0.01,26,132,0,132
"tcell30p_scored_target",72,0.01,94,132,103,132
"tcell3p_scored_target",72,0.01,52,132,61,132
"drep_tcell100p_scored_target",73,0.01,109,132,125,132
"tcell0pt3p_scored_target",73,0.01,38,132,0,132
"tcell10p_scored_target",73,0.01,66,132,74,132
"tcell1p_scored_target",73,0.01,0,132,0,132
"tcell30p_scored_target",73,0.01,94,132,103,132
"tcell3p_scored_target",73,0.01,39,132,54,132
"drep_tcell100p_scored_target",74,0.01,109,132,125,132
"tcell0pt3p_scored_target",74,0.01,25,132,0,132
"tcell10p_scored_target",74,0.01,66,132,76,132
"tcell1p_scored_target",74,0.01,13,132,0,132
"tcell30p_scored_target",74,0.01,94,132,103,132
"tcell3p_scored_target",74,0.01,39,132,53,132
"drep_tcell100p_scored_target",75,0.01,109,132,125,132
"tcell0pt3p_scored_target",75,0.01,0,132,0,132
"tcell10p_scored_target",75,0.01,66,132,78,132
"tcell1p_scored_target",75,0.01,12,132,0,132
"tcell30p_scored_target",75,0.01,94,132,102,132
"tcell3p_scored_target",75,0.01,0,132,55,132
