"seed","basename","file","threshold","pep_total","pep_pass","q_total","q_pass"
76,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed76_label0_pep_ipspline.txt",0.05,132,113,132,127
77,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed77_label0_pep_ipspline.txt",0.01,132,109,132,125
77,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed77_label0_pep_ipspline.txt",0.05,132,113,132,127
78,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed78_label0_pep_ipspline.txt",0.01,132,109,132,125
78,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed78_label0_pep_ipspline.txt",0.05,132,113,132,127
79,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed79_label0_pep_ipspline.txt",0.01,132,109,132,125
79,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed79_label0_pep_ipspline.txt",0.05,132,112,132,126
80,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed80_label0_pep_ipspline.txt",0.01,132,109,132,125
80,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed80_label0_pep_ipspline.txt",0.05,132,113,132,127
81,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed81_label0_pep_ipspline.txt",0.01,132,109,132,125
81,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed81_label0_pep_ipspline.txt",0.05,132,113,132,127
82,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed82_label0_pep_ipspline.txt",0.01,132,109,132,125
82,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed82_label0_pep_ipspline.txt",0.05,132,113,132,127
83,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed83_label0_pep_ipspline.txt",0.01,132,109,132,125
83,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed83_label0_pep_ipspline.txt",0.05,132,113,132,127
84,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed84_label0_pep_ipspline.txt",0.01,132,109,132,125
84,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed84_label0_pep_ipspline.txt",0.05,132,113,132,127
85,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed85_label0_pep_ipspline.txt",0.01,132,109,132,126
85,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed85_label0_pep_ipspline.txt",0.05,132,114,132,127
86,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed86_label0_pep_ipspline.txt",0.01,132,109,132,125
86,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed86_label0_pep_ipspline.txt",0.05,132,112,132,127
87,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed87_label0_pep_ipspline.txt",0.01,132,109,132,125
87,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed87_label0_pep_ipspline.txt",0.05,132,113,132,127
88,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed88_label0_pep_ipspline.txt",0.01,132,109,132,125
88,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed88_label0_pep_ipspline.txt",0.05,132,113,132,127
89,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed89_label0_pep_ipspline.txt",0.01,132,109,132,126
89,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed89_label0_pep_ipspline.txt",0.05,132,113,132,127
90,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed90_label0_pep_ipspline.txt",0.01,132,109,132,126
90,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed90_label0_pep_ipspline.txt",0.05,132,113,132,127
91,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed91_label0_pep_ipspline.txt",0.01,132,109,132,125
91,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed91_label0_pep_ipspline.txt",0.05,132,112,132,127
92,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed92_label0_pep_ipspline.txt",0.01,132,109,132,125
92,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed92_label0_pep_ipspline.txt",0.05,132,113,132,127
93,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed93_label0_pep_ipspline.txt",0.01,132,109,132,126
93,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed93_label0_pep_ipspline.txt",0.05,132,114,132,127
94,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed94_label0_pep_ipspline.txt",0.01,132,109,132,125
94,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed94_label0_pep_ipspline.txt",0.05,132,113,132,127
95,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed95_label0_pep_ipspline.txt",0.01,132,109,132,125
95,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed95_label0_pep_ipspline.txt",0.05,132,113,132,127
96,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed96_label0_pep_ipspline.txt",0.01,132,109,132,126
96,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed96_label0_pep_ipspline.txt",0.05,132,113,132,127
97,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed97_label0_pep_ipspline.txt",0.01,132,109,132,126
97,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed97_label0_pep_ipspline.txt",0.05,132,113,132,127
98,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed98_label0_pep_ipspline.txt",0.01,132,109,132,126
98,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed98_label0_pep_ipspline.txt",0.05,132,113,132,127
99,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed99_label0_pep_ipspline.txt",0.01,132,109,132,125
99,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed99_label0_pep_ipspline.txt",0.05,132,113,132,127
100,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed100_label0_pep_ipspline.txt",0.01,132,109,132,126
100,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed100_label0_pep_ipspline.txt",0.05,132,114,132,127
1,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed1_label0_pep_ipspline.txt",0.01,132,0,132,0
1,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed1_label0_pep_ipspline.txt",0.05,132,34,132,52
2,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed2_label0_pep_ipspline.txt",0.01,132,26,132,0
2,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed2_label0_pep_ipspline.txt",0.05,132,29,132,40
3,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed3_label0_pep_ipspline.txt",0.01,132,0,132,0
3,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed3_label0_pep_ipspline.txt",0.05,132,31,132,45
4,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed4_label0_pep_ipspline.txt",0.01,132,25,132,0
4,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed4_label0_pep_ipspline.txt",0.05,132,29,132,41
5,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed5_label0_pep_ipspline.txt",0.01,132,25,132,0
5,"tcell0pt3p_scored_target","tcell0pt3p_scored_target_seed5_label0_pep_ipspline.txt",0.05,132,28,132,39
